country_code,country,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Proportion proteine animale (%),populations,Evolution de la population par rapport a l'an passée (en %),Pib par habitant,Variation du pib avec l'année precedente (en %)
197,Sierra Leone,2505.1070955138493,86.59176703032337,19.186,6092,1.89,1655.1,17.994
198,Slovénie,3549.7260168841126,120.40541362425868,43.03,2072,0.193,27622.7,-1.266
199,Slovaquie,3359.428382055396,97.71468430547158,35.767,5450,0.073,26580.7,1.381
202,Afrique du Sud,3297.6189213702637,109.71541362425867,34.766,52776,0.744,12339.7,1.018
203,Espagne,3450.618921370264,124.26833089940692,52.419,46927,0.368,30678.9,-1.383
207,Suriname,2960.214191027698,93.34176703032331,32.305,539,0.748,15419.3,1.897
208,Tadjikistan,2615.4283820553956,90.20395498668452,25.524,8208,2.485,2440.6,4.999
209,Eswatini,2568.9165561989807,91.51030839274921,19.233,1250,1.543,7865.4,4.471
210,Suède,3527.02365171283,126.98833089940692,55.761,9571,0.631,43475.8,0.387
211,Suisse,3670.618921370264,113.61760158061985,52.597,8078,1.013,56535.7,0.687
213,Turkménistan,3148.3212865415467,110.00833089940691,34.497,5240,1.295,13236.0,8.178
214,"Chine, Taiwan Province de",3171.511825856415,110.45760158061982,39.364,23330,0.249,17816.230357142857,2.010178571428571
215,République-Unie de Tanzanie,2412.214191027698,85.80322566789754,11.864,49253,3.076,2316.4,3.977
216,Thaïlande,3062.618921370264,87.67395498668454,28.366,67011,0.338,14771.5,2.237
217,Togo,2586.809460685132,89.02249634911038,10.155,6817,2.619,1275.2,1.263
220,Trinité-et-Tobago,3396.02365171283,112.59249634911042,38.28,1341,0.299,31405.4,0.482
221,Oman,3556.428382055396,118.69176703032335,38.503,3632,9.596,41924.8,-2.569
222,Tunisie,3591.9165561989807,126.53322566789743,23.815,10997,1.122,10579.1,1.681
223,Turquie,4089.7260168841126,130.0668722618328,27.909,74933,1.265,21650.8,6.749
225,Émirats arabes unis,3899.642573083094,137.4303083927492,31.619,9346,1.521,61688.4,3.819
226,Ouganda,2334.2141910276982,85.5603083927492,14.469,37579,3.392,1610.8,0.149
229,Royaume-Uni,3772.02365171283,132.40249634911038,45.334,63384,0.562,37398.8,1.371
230,Ukraine,3623.8331123979615,119.1117670303233,36.226,45239,-0.639,8338.9,0.201
231,États-Unis d'Amérique,3959.618921370264,122.83197749334227,56.801,320051,0.802,51003.7,0.957
233,Burkina Faso,2821.107095513849,108.63249634911038,10.2,16935,2.886,1562.3,2.682
234,Uruguay,3468.428382055396,122.81176703032334,43.962,3407,0.353,19270.6,4.293
235,Ouzbékistan,3140.7260168841126,111.45322566789743,27.764,28934,1.377,5067.4,6.326
236,Venezuela (République bolivarienne du),2910.618921370264,96.12614294304574,39.667,30405,1.502,17665.2,-0.077
237,Viet Nam,3021.6189213702646,107.21468430547161,28.961,91680,0.974,5024.4,4.217
238,Éthiopie,2267.809460685132,87.21395498668453,10.828,94101,2.586,1325.8,7.736
244,Samoa,3060.107095513849,116.01176703032337,46.245,190,0.529,5489.8,-2.737
249,Yémen,2494.6189213702637,88.16249634911044,15.71,24407,2.327,3872.8,2.093
251,Zambie,2097.511825856415,89.35957907396217,10.329,14539,3.297,3576.7,1.918
255,Belgique,4153.428382055396,123.75541362425867,46.98,11104,0.398,40928.1,-0.288
256,Luxembourg,4129.94020791181,150.218120436388,48.01,530,1.145,90656.4,1.286
272,Serbie,3176.1307472266785,113.91103771153627,35.054,9511,-0.44,13295.0,3.072
273,Monténégro,3767.6189213702637,150.9166617988139,41.818,621,0.0,14551.4,3.448
276,Soudan,2647.321286541547,106.0488497551751,30.842,37964,2.067,4177.3,1.957
